n_drones,trial,offset_deg,mothership_survived,n_drones_lost,time_to_resolution,min_miss_distance,sam_outcome,sam_victim
2,31,17.800193640739877,True,1,18.450000000000127,5.005947731638176,kill,drone_0
2,32,17.285003814830063,True,0,18.450000000000127,5.152043172522616,miss,
2,33,18.584859613281374,True,0,18.450000000000127,6.410209834337832,miss,
2,34,-7.929635670388457,True,0,18.450000000000127,7.0301716226242394,miss,
2,35,-23.639742004694124,True,1,18.55000000000013,6.753720568782935,kill,drone_1
2,36,-14.15920491870718,True,1,18.500000000000128,6.980802947583284,kill,drone_1
2,37,-20.856457141940755,True,1,18.55000000000013,6.703745405273059,kill,drone_1
2,38,20.489933765024368,True,0,18.450000000000127,7.03511493367877,miss,
2,39,24.77045021687563,True,0,18.500000000000128,6.112819703153364,miss,
2,40,2.166953314477354,True,1,18.400000000000126,6.8041768105018114,kill,drone_0
2,41,-16.510954118919727,True,0,18.500000000000128,6.5853149946695115,miss,
2,42,7.3042595099756875,True,1,18.400000000000126,6.721945054285165,kill,drone_0
2,43,-12.9959478731272,True,0,18.500000000000128,6.938577073687686,miss,
2,44,-4.2958684847151325,True,1,18.450000000000127,5.951453827082659,kill,drone_0
2,45,15.337023424374701,True,1,18.450000000000127,5.648453795734039,kill,drone_0
2,46,4.560731432063207,True,1,18.400000000000126,6.807105046784826,kill,drone_0
2,47,-4.150262770576301,True,0,18.450000000000127,5.966091687954313,miss,
2,48,-12.591670081908479,True,0,18.500000000000128,8.861564135906661,miss,
2,49,12.94984027617663,True,1,18.400000000000126,6.490855594595634,kill,drone_0
2,50,-17.530137459959,True,1,18.55000000000013,6.004497144384675,kill,drone_1
2,51,-13.661178975882493,True,1,18.500000000000128,6.859244306544643,kill,drone_1
2,52,-6.356563427886247,True,1,18.450000000000127,5.726656711801873,kill,drone_0
2,53,24.331152068539748,True,1,18.500000000000128,4.719803885805687,kill,drone_0
2,54,-22.329715072004745,True,1,18.55000000000013,6.597078216915284,kill,drone_1
2,55,6.191600137865638,True,0,18.400000000000126,6.762674788136545,miss,
2,56,16.145942516770454,True,1,18.450000000000127,5.472122115664247,kill,drone_0
2,57,22.022183176553355,True,1,18.450000000000127,5.861059273742249,kill,drone_0
2,58,3.9597698949391287,True,1,18.400000000000126,6.815909001210011,kill,drone_0
2,59,-15.93848605617683,True,0,18.500000000000128,6.613684128888039,miss,
3,0,-0.6516743264834268,True,1,18.400000000000126,7.3302250884656015,kill,drone_0
3,1,0.11863038891370437,True,0,18.400000000000126,7.224292065136533,miss,
3,2,-10.489653678885569,True,1,18.500000000000128,7.239887449521983,kill,drone_1
3,3,1.6962212780415804,True,1,18.400000000000126,7.0827004728420935,kill,drone_0
3,4,-23.466819320112954,True,1,18.55000000000013,6.653410077539463,kill,drone_1
3,5,-20.051997386944887,True,1,18.55000000000013,5.285078201531076,kill,drone_1
3,6,5.660928247475859,True,1,18.400000000000126,5.918252235572516,kill,drone_0
3,7,21.980429375863338,True,1,18.450000000000127,5.715494659090135,kill,drone_0
3,8,7.198114562718373,True,0,18.400000000000126,7.432262353240755,miss,
3,9,-22.263496128978495,True,1,18.55000000000013,7.067115194786515,kill,drone_1
3,10,3.1796855431405824,True,1,18.400000000000126,7.297372682079547,kill,drone_0
3,11,15.558601561985116,True,1,18.400000000000126,6.050424468192726,kill,drone_0
3,12,-11.907414091350626,True,1,18.500000000000128,7.743668533813609,kill,drone_1
3,13,-4.21559373842949,True,1,18.400000000000126,6.596656121707016,kill,drone_0
3,14,11.979984624244736,True,1,18.400000000000126,6.167381392565114,kill,drone_0
3,15,6.650013686690325,True,1,18.400000000000126,6.384860109895625,kill,drone_0
3,16,-13.607106854652763,True,1,18.500000000000128,7.405173777249077,kill,drone_1
3,17,-12.816992306688462,True,1,18.500000000000128,6.703515662500136,kill,drone_1
3,18,-10.705832531786996,True,1,18.500000000000128,6.282054644958755,kill,drone_1
3,19,4.484155705479399,True,1,18.400000000000126,7.562063213916707,kill,drone_0
3,20,18.944523895916788,True,0,18.450000000000127,6.10064693910588,miss,
3,21,-18.594149764458724,True,1,18.55000000000013,6.889637161587969,kill,drone_1
3,22,-15.491362802897061,True,1,18.500000000000128,6.5848672476845715,kill,drone_1
3,23,4.128476739255664,True,1,18.400000000000126,7.195584024418351,kill,drone_0
